Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,2411,0.9931300141386968,0.9526663679347795,0.988950276243094,0.9005524861878453,0.7016574585635359,0.23204419889502761,0.23204419889502761
bass_2,181,2411,0.9826256728484318,0.9605879354985696,0.9723756906077348,0.9447513812154696,0.8342541436464088,0.7679558011049724,0.7679558011049724
bass_3,181,2411,0.9930704345415007,0.9792683497055702,0.994475138121547,0.9502762430939227,0.8895027624309392,0.6906077348066298,0.6906077348066298
bass_4,181,2411,0.9928389907216235,0.9567197428057124,0.988950276243094,0.9337016574585635,0.6685082872928176,0.4861878453038674,0.4861878453038674
bass_5,181,2411,0.9953986218780864,0.9860578716299214,0.994475138121547,0.9834254143646409,0.9116022099447514,0.7955801104972375,0.7955801104972375
bass_6,181,2411,0.9907720370035129,0.9566890362906176,0.994475138121547,0.9171270718232044,0.7513812154696132,0.4530386740331492,0.4530386740331492
bass_comb123456,181,2411,0.9992667126498942,0.9927100473097269,1.0,0.988950276243094,0.9558011049723757,0.6574585635359116,0.6574585635359116
