Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,2411,0.9289102298227144,0.571150995118918,0.8205128205128205,0.5384615384615384,0.2564102564102564,0.02564102564102564,0.02564102564102564
bass_2,78,2411,0.8454359825160322,0.6090385625238313,0.7564102564102564,0.5512820512820513,0.2948717948717949,0.23076923076923078,0.23076923076923078
bass_3,78,2411,0.9610013931872081,0.8098342823192071,0.9487179487179487,0.7564102564102564,0.5384615384615384,0.23076923076923078,0.23076923076923078
bass_4,78,2411,0.9699348073466697,0.8207554368205647,0.9487179487179487,0.8461538461538461,0.4230769230769231,0.28205128205128205,0.28205128205128205
bass_5,78,2411,0.9381467419625862,0.6820148404824018,0.8205128205128205,0.6410256410256411,0.34615384615384615,0.1794871794871795,0.1794871794871795
bass_6,78,2411,0.9425709089748907,0.7338723436738659,0.8717948717948718,0.6794871794871795,0.44871794871794873,0.10256410256410256,0.10256410256410256
bass_comb123456,78,2411,0.9691478160992886,0.8124459362759734,0.9358974358974359,0.7692307692307693,0.6282051282051282,0.14102564102564102,0.14102564102564102
