Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,2411,0.6237985320902386,0.21450602378564715,0.41304347826086957,0.1956521739130435,0.06521739130434782,0.0,0.0
bass_2,92,2411,0.571258543270878,0.2950089209018695,0.3695652173913043,0.29347826086956524,0.13043478260869565,0.07608695652173914,0.07608695652173914
bass_3,92,2411,0.8477764954105278,0.4879159222315931,0.6413043478260869,0.3804347826086957,0.2391304347826087,0.08695652173913043,0.08695652173913043
bass_4,92,2411,0.8435521973563198,0.5444380661824056,0.6847826086956522,0.4891304347826087,0.2717391304347826,0.15217391304347827,0.15217391304347827
bass_5,92,2411,0.8552873604674229,0.46242173309180273,0.6521739130434783,0.41304347826086957,0.15217391304347827,0.07608695652173914,0.07608695652173914
bass_6,92,2411,0.7227742412493463,0.3365899498027771,0.4673913043478261,0.31521739130434784,0.14130434782608695,0.021739130434782608,0.021739130434782608
bass_comb123456,92,2411,0.8579112040827367,0.5048436720479709,0.6304347826086957,0.42391304347826086,0.30434782608695654,0.03260869565217391,0.03260869565217391
