Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,65,2411,0.9207159493347797,0.5682928066545715,0.8307692307692308,0.5230769230769231,0.3384615384615385,0.07692307692307693,0.07692307692307693
bass_2,65,2411,0.888453562198896,0.58057534141843,0.676923076923077,0.5230769230769231,0.4461538461538462,0.38461538461538464,0.38461538461538464
bass_3,65,2411,0.9693456274128194,0.7034349374082217,0.8923076923076924,0.6461538461538462,0.47692307692307695,0.23076923076923078,0.23076923076923078
bass_4,65,2411,0.9755990173244424,0.7714310077905303,0.8769230769230769,0.7384615384615385,0.5384615384615384,0.4307692307692308,0.4307692307692308
bass_5,65,2411,0.9348690297674123,0.6358217989772567,0.8153846153846154,0.6153846153846154,0.3384615384615385,0.15384615384615385,0.15384615384615385
bass_6,65,2411,0.9671314169032957,0.7340532853641053,0.9076923076923077,0.6923076923076923,0.47692307692307695,0.15384615384615385,0.15384615384615385
bass_comb123456,65,2411,0.9723319401461252,0.7588580525084566,0.9076923076923077,0.7230769230769231,0.5846153846153846,0.2153846153846154,0.2153846153846154
