Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,143,437236,0.999789219462348,0.8793133901525219,1.0,0.993006993006993,0.958041958041958,0.8181818181818182,0.6923076923076923
bass_2,143,437236,0.9997736256370038,0.9402465024831735,1.0,0.993006993006993,0.9790209790209791,0.9370629370629371,0.7132867132867133
bass_3,143,437236,0.9997516823258528,0.8925847279374196,1.0,0.993006993006993,0.958041958041958,0.8461538461538461,0.7342657342657343
bass_4,143,437236,0.9997441333150195,0.8657595456812885,1.0,1.0,0.951048951048951,0.8111888111888111,0.6293706293706294
bass_5,143,437236,0.9998434699808786,0.8974469556602599,1.0,0.993006993006993,0.972027972027972,0.8671328671328671,0.6573426573426573
bass_6,143,437236,0.9998748335619042,0.8866692092164462,1.0,1.0,0.972027972027972,0.8601398601398601,0.6293706293706294
bass_comb123456,143,437236,0.9999782486128533,0.9555770923559816,1.0,1.0,1.0,0.9370629370629371,0.8321678321678322
