Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,437236,0.8851092057736604,0.01904078440353571,0.6630434782608695,0.3804347826086957,0.18478260869565216,0.03260869565217391,0.0
bass_2,92,437236,0.914566496672576,0.07054579060629419,0.75,0.5108695652173914,0.31521739130434784,0.10869565217391304,0.010869565217391304
bass_3,92,437236,0.9684665867443192,0.05748694029377774,0.9130434782608695,0.5978260869565217,0.30434782608695654,0.11956521739130435,0.010869565217391304
bass_4,92,437236,0.9590810474653625,0.102672905554539,0.9130434782608695,0.6739130434782609,0.3804347826086957,0.15217391304347827,0.021739130434782608
bass_5,92,437236,0.9811642861660225,0.08945302729796084,0.9239130434782609,0.6630434782608695,0.3804347826086957,0.11956521739130435,0.03260869565217391
bass_6,92,437236,0.9538491201846222,0.02886577988628837,0.8478260869565217,0.4673913043478261,0.2608695652173913,0.043478260869565216,0.0
bass_comb123456,92,437236,0.9730830618983202,0.0891830722019396,0.9130434782608695,0.6086956521739131,0.358695652173913,0.13043478260869565,0.021739130434782608
