Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,437236,0.9809882053956194,0.13102875528892854,0.9743589743589743,0.8076923076923077,0.47435897435897434,0.14102564102564102,0.05128205128205128
bass_2,78,437236,0.9815363310220778,0.20231423936662563,0.9230769230769231,0.8333333333333334,0.6282051282051282,0.2948717948717949,0.038461538461538464
bass_3,78,437236,0.9879693557501423,0.22217407646254944,0.9743589743589743,0.8846153846153846,0.6923076923076923,0.24358974358974358,0.05128205128205128
bass_4,78,437236,0.9930271183713261,0.2828181716308287,0.9871794871794872,0.9358974358974359,0.7051282051282052,0.32051282051282054,0.08974358974358974
bass_5,78,437236,0.9913401516894824,0.1869783203175183,0.9871794871794872,0.8333333333333334,0.6025641025641025,0.21794871794871795,0.038461538461538464
bass_6,78,437236,0.9885046238011228,0.1714796679791731,0.9871794871794872,0.8461538461538461,0.6282051282051282,0.19230769230769232,0.01282051282051282
bass_comb123456,78,437236,0.9913093638804696,0.31650596506350925,0.9871794871794872,0.9358974358974359,0.6923076923076923,0.34615384615384615,0.11538461538461539
