Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,67,437236,0.9971902192101454,0.3513773197651285,1.0,0.9552238805970149,0.7014925373134329,0.3880597014925373,0.13432835820895522
bass_2,67,437236,0.9987245523200491,0.530320886692553,1.0,0.9552238805970149,0.9104477611940298,0.5970149253731343,0.22388059701492538
bass_3,67,437236,0.9977831228273456,0.4150444925849037,1.0,0.9701492537313433,0.7611940298507462,0.4925373134328358,0.13432835820895522
bass_4,67,437236,0.9980537168151139,0.5019453385841584,1.0,0.9402985074626866,0.8208955223880597,0.5223880597014925,0.3283582089552239
bass_5,67,437236,0.9959998719227144,0.2733111720945434,1.0,0.8955223880597015,0.6865671641791045,0.3283582089552239,0.08955223880597014
bass_6,67,437236,0.9991230529146253,0.39306269026300733,1.0,0.9850746268656716,0.8507462686567164,0.3880597014925373,0.14925373134328357
bass_comb123456,67,437236,0.9989504284922532,0.5279039560135684,1.0,0.9850746268656716,0.7910447761194029,0.582089552238806,0.3283582089552239
