Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,54,2411,0.9662657265311766,0.7298885808150581,0.9074074074074074,0.7222222222222222,0.5925925925925926,0.12962962962962962,0.12962962962962962
bass_2,54,2411,0.9895924543373735,0.8910063735113348,0.9814814814814815,0.8703703703703703,0.6481481481481481,0.5740740740740741,0.5740740740740741
bass_3,54,2411,0.9962747899288753,0.8972819630952563,1.0,0.8888888888888888,0.7037037037037037,0.4074074074074074,0.4074074074074074
bass_4,54,2411,0.985398712690293,0.8566654914614249,0.9444444444444444,0.8703703703703703,0.6481481481481481,0.5185185185185185,0.5185185185185185
bass_5,54,2411,0.9723105519455582,0.7517489185987047,0.9074074074074074,0.7407407407407407,0.48148148148148145,0.3333333333333333,0.3333333333333333
bass_6,54,2411,0.9923037928015116,0.8692050859534282,0.9814814814814815,0.8518518518518519,0.6666666666666666,0.37037037037037035,0.37037037037037035
bass_comb123456,54,2411,0.9931640474983485,0.8839019627652811,0.9814814814814815,0.8888888888888888,0.7962962962962963,0.2777777777777778,0.2777777777777778
