Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,44,437236,0.9956158999633233,0.25994849597365344,1.0,0.8636363636363636,0.6363636363636364,0.3181818181818182,0.18181818181818182
bass_2,44,437236,0.9967532096250912,0.321072987487625,1.0,0.8636363636363636,0.7727272727272727,0.45454545454545453,0.1590909090909091
bass_3,44,437236,0.9974035761007785,0.3534555071488166,1.0,0.9318181818181818,0.7727272727272727,0.45454545454545453,0.18181818181818182
bass_4,44,437236,0.9925503618183316,0.33313042814843946,0.9545454545454546,0.8863636363636364,0.7045454545454546,0.45454545454545453,0.20454545454545456
bass_5,44,437236,0.9952638953458877,0.3077961416919683,1.0,0.8863636363636364,0.75,0.3409090909090909,0.1590909090909091
bass_6,44,437236,0.9966374514616197,0.2819509544885432,1.0,0.8636363636363636,0.6818181818181818,0.3409090909090909,0.1590909090909091
bass_comb123456,44,437236,0.9961916759744477,0.38765288073391996,1.0,0.8863636363636364,0.7727272727272727,0.5,0.29545454545454547
