Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,2411,0.9460781730145671,0.773252967220427,0.856353591160221,0.6519337016574586,0.36464088397790057,0.022099447513812154,0.022099447513812154
bass_2,181,2411,0.89652857185414,0.7741293794691098,0.7900552486187845,0.6850828729281768,0.5138121546961326,0.4696132596685083,0.4696132596685083
bass_3,181,2411,0.9800797908297834,0.9132069849802403,0.9668508287292817,0.8066298342541437,0.6685082872928176,0.3812154696132597,0.3812154696132597
bass_4,181,2411,0.9563212806863569,0.8460898398262355,0.9060773480662984,0.7734806629834254,0.34806629834254144,0.13812154696132597,0.13812154696132597
bass_5,181,2411,0.9956071504682726,0.9606673452236123,0.994475138121547,0.9060773480662984,0.7790055248618785,0.6243093922651933,0.6243093922651933
bass_6,181,2411,0.9379753477958986,0.7385025979902029,0.8453038674033149,0.5469613259668509,0.27624309392265195,0.11602209944751381,0.11602209944751381
bass_comb123456,181,2411,0.9944063924324745,0.9540903396773,0.988950276243094,0.8784530386740331,0.7679558011049724,0.27071823204419887,0.27071823204419887
