Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,437236,0.9996873251352077,0.8630367647312123,1.0,0.994475138121547,0.9613259668508287,0.7845303867403315,0.6243093922651933
bass_2,181,437236,0.9995774814253819,0.9412376808700839,1.0,0.988950276243094,0.9834254143646409,0.9337016574585635,0.6795580110497238
bass_3,181,437236,0.9988111405403578,0.8728459805141006,0.994475138121547,0.994475138121547,0.9613259668508287,0.8066298342541437,0.6077348066298343
bass_4,181,437236,0.9996182321402316,0.8418316451250135,1.0,0.994475138121547,0.9447513812154696,0.7569060773480663,0.4972375690607735
bass_5,181,437236,0.9996968904968019,0.8984747657263815,1.0,0.994475138121547,0.9668508287292817,0.850828729281768,0.6408839779005525
bass_6,181,437236,0.999391582350384,0.8337161445966997,1.0,0.994475138121547,0.9392265193370166,0.7348066298342542,0.46408839779005523
bass_comb123456,181,437236,0.99996717198227,0.9520676691104418,1.0,1.0,0.994475138121547,0.9337016574585635,0.7845303867403315
