Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,44,2411,0.964235888541156,0.6552832949032182,0.8863636363636364,0.6818181818181818,0.5,0.09090909090909091,0.09090909090909091
bass_2,44,2411,0.9186493721956186,0.6973859842040885,0.7954545454545454,0.75,0.5,0.3181818181818182,0.3181818181818182
bass_3,44,2411,0.9844462878473663,0.8466528396785489,0.9545454545454546,0.8409090909090909,0.6363636363636364,0.4090909090909091,0.4090909090909091
bass_4,44,2411,0.9558463104709476,0.789400723278398,0.9318181818181818,0.7954545454545454,0.5681818181818182,0.45454545454545453,0.45454545454545453
bass_5,44,2411,0.9585611402284981,0.7565787310434144,0.8863636363636364,0.7954545454545454,0.5227272727272727,0.2727272727272727,0.2727272727272727
bass_6,44,2411,0.9716262584367106,0.7307415898017341,0.9090909090909091,0.75,0.4318181818181818,0.29545454545454547,0.29545454545454547
bass_comb123456,44,2411,0.9706176237698428,0.8027327661014185,0.9090909090909091,0.8181818181818182,0.6818181818181818,0.29545454545454547,0.29545454545454547
