Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,143,2411,0.9983583401252418,0.9810719822952328,1.0,0.965034965034965,0.9020979020979021,0.5804195804195804,0.5804195804195804
bass_2,143,2411,0.994422417068622,0.9826257693304004,0.986013986013986,0.972027972027972,0.951048951048951,0.916083916083916,0.916083916083916
bass_3,143,2411,0.998831114965499,0.9876749997743918,1.0,0.9790209790209791,0.9370629370629371,0.8391608391608392,0.8391608391608392
bass_4,143,2411,0.9985352681329454,0.9828837978233999,1.0,0.958041958041958,0.9020979020979021,0.8041958041958042,0.8041958041958042
bass_5,143,2411,0.9984888607866625,0.9863018919880545,0.993006993006993,0.972027972027972,0.9020979020979021,0.8181818181818182,0.8181818181818182
bass_6,143,2411,0.9993212925606124,0.9902664021264277,1.0,0.972027972027972,0.9370629370629371,0.7412587412587412,0.7412587412587412
bass_comb123456,143,2411,0.999927488521433,0.9986819752475953,1.0,1.0,1.0,0.8321678321678322,0.8321678321678322
