Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,437236,0.9910588256344008,0.31308911021071134,0.9834254143646409,0.8397790055248618,0.5911602209944752,0.19889502762430938,0.08839779005524862
bass_2,181,437236,0.9915704903464653,0.5504397569839832,0.9779005524861878,0.8950276243093923,0.7292817679558011,0.5027624309392266,0.16574585635359115
bass_3,181,437236,0.9946131029835892,0.5362239041682031,0.994475138121547,0.9392265193370166,0.7458563535911602,0.4198895027624309,0.17679558011049723
bass_4,181,437236,0.9928723335322558,0.2536749944209334,0.9723756906077348,0.9060773480662984,0.6077348066298343,0.14917127071823205,0.022099447513812154
bass_5,181,437236,0.9995472311272889,0.7579137900753214,1.0,0.994475138121547,0.9005524861878453,0.6961325966850829,0.36464088397790057
bass_6,181,437236,0.9894827459325227,0.22133431607219214,0.9834254143646409,0.8397790055248618,0.44751381215469616,0.16022099447513813,0.055248618784530384
bass_comb123456,181,437236,0.9991636689724791,0.6281815284968487,1.0,0.988950276243094,0.856353591160221,0.5303867403314917,0.23756906077348067
