Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,437236,0.8505584189535289,0.0022834775107716076,0.5869565217391305,0.17391304347826086,0.021739130434782608,0.0,0.0
bass_2,92,437236,0.9014769956091765,0.007156347588487767,0.6739130434782609,0.29347826086956524,0.06521739130434782,0.010869565217391304,0.0
bass_3,92,437236,0.9748785677180805,0.02481611976619991,0.9456521739130435,0.5760869565217391,0.20652173913043478,0.021739130434782608,0.0
bass_4,92,437236,0.9405485973747338,0.021543705241353878,0.8478260869565217,0.6086956521739131,0.1956521739130435,0.03260869565217391,0.0
bass_5,92,437236,0.9841698762224519,0.0516951730848901,0.967391304347826,0.6847826086956522,0.29347826086956524,0.07608695652173914,0.021739130434782608
bass_6,92,437236,0.9175314037946675,0.003306361826217843,0.6956521739130435,0.22826086956521738,0.03260869565217391,0.0,0.0
bass_comb123456,92,437236,0.9708109082071685,0.02221439648536496,0.9347826086956522,0.5652173913043478,0.20652173913043478,0.010869565217391304,0.010869565217391304
