Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,437236,0.9083485483753302,0.0020217582515355413,0.7307692307692307,0.1794871794871795,0.01282051282051282,0.0,0.0
bass_2,78,437236,0.8999993343968908,0.0036949011178333342,0.6538461538461539,0.2564102564102564,0.07692307692307693,0.0,0.0
bass_3,78,437236,0.9790567541884908,0.019693602387055077,0.9615384615384616,0.6025641025641025,0.23076923076923078,0.01282051282051282,0.0
bass_4,78,437236,0.9683276279124974,0.015450784435957371,0.9358974358974359,0.6153846153846154,0.10256410256410256,0.01282051282051282,0.0
bass_5,78,437236,0.9884931296857579,0.03717807811973861,0.9871794871794872,0.7307692307692307,0.3333333333333333,0.01282051282051282,0.0
bass_6,78,437236,0.9445618290749982,0.002862527345858621,0.8461538461538461,0.21794871794871795,0.02564102564102564,0.0,0.0
bass_comb123456,78,437236,0.9812973883024153,0.018998824590357358,0.9743589743589743,0.7435897435897436,0.1282051282051282,0.01282051282051282,0.0
