Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,2411,0.5949494304948473,0.048216859307213596,0.21794871794871795,0.01282051282051282,0.0,0.0,0.0
bass_2,78,2411,0.3784364398217571,0.037856703388276215,0.15384615384615385,0.02564102564102564,0.01282051282051282,0.0,0.0
bass_3,78,2411,0.878835252953876,0.4018517578229007,0.7051282051282052,0.32051282051282054,0.08974358974358974,0.01282051282051282,0.01282051282051282
bass_4,78,2411,0.8676099926618384,0.31817601799487283,0.6410256410256411,0.3076923076923077,0.02564102564102564,0.01282051282051282,0.01282051282051282
bass_5,78,2411,0.8992013102340768,0.4015015545437136,0.7307692307692307,0.38461538461538464,0.07692307692307693,0.0,0.0
bass_6,78,2411,0.6428389113996746,0.0639738647342553,0.24358974358974358,0.05128205128205128,0.0,0.0,0.0
bass_comb123456,78,2411,0.8927564900190368,0.3524051035220872,0.7692307692307693,0.32051282051282054,0.038461538461538464,0.0,0.0
