Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,2411,0.7975837241702028,0.23242132762573225,0.5256410256410257,0.19230769230769232,0.0641025641025641,0.0,0.0
bass_2,78,2411,0.727530868136426,0.28254959840914196,0.5,0.2564102564102564,0.11538461538461539,0.05128205128205128,0.05128205128205128
bass_3,78,2411,0.9237469291388828,0.6267296988103143,0.8461538461538461,0.5256410256410257,0.34615384615384615,0.0641025641025641,0.0641025641025641
bass_4,78,2411,0.9190037116208831,0.6332132396563063,0.8461538461538461,0.6282051282051282,0.1794871794871795,0.07692307692307693,0.07692307692307693
bass_5,78,2411,0.9205564240819322,0.6133109143185358,0.8205128205128205,0.5512820512820513,0.2948717948717949,0.10256410256410256,0.10256410256410256
bass_6,78,2411,0.867072924310585,0.46519766130283685,0.7307692307692307,0.44871794871794873,0.16666666666666666,0.02564102564102564,0.02564102564102564
bass_comb123456,78,2411,0.9313350136659967,0.6452481050878133,0.8589743589743589,0.5897435897435898,0.34615384615384615,0.02564102564102564,0.02564102564102564
