Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,437236,0.9990060616340852,0.7139704717842623,1.0,0.988950276243094,0.8729281767955801,0.5966850828729282,0.40331491712707185
bass_2,181,437236,0.9984506767752364,0.8562615400425091,0.994475138121547,0.9834254143646409,0.9447513812154696,0.8287292817679558,0.4696132596685083
bass_3,181,437236,0.9971091379706241,0.8145505986573508,0.994475138121547,0.994475138121547,0.9337016574585635,0.7237569060773481,0.4585635359116022
bass_4,181,437236,0.9989091317942056,0.6293546959030641,1.0,0.988950276243094,0.861878453038674,0.4972375690607735,0.2154696132596685
bass_5,181,437236,0.9994311832001015,0.9022351761158309,1.0,0.994475138121547,0.9834254143646409,0.8674033149171271,0.585635359116022
bass_6,181,437236,0.9974397557858308,0.6822184534787067,0.994475138121547,0.994475138121547,0.8674033149171271,0.56353591160221,0.2265193370165746
bass_comb123456,181,437236,0.9998786323670912,0.891007334848751,1.0,1.0,0.9834254143646409,0.8453038674033149,0.6519337016574586
