Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,437236,0.9537481195979124,0.015803173500313454,0.9102564102564102,0.5,0.14102564102564102,0.038461538461538464,0.0
bass_2,78,437236,0.9696863818894027,0.048540472418988755,0.9102564102564102,0.6794871794871795,0.34615384615384615,0.10256410256410256,0.0
bass_3,78,437236,0.9754542286733141,0.08309710615276795,0.9487179487179487,0.7948717948717948,0.3974358974358974,0.08974358974358974,0.02564102564102564
bass_4,78,437236,0.9752693112280384,0.08925256240352418,0.9615384615384616,0.8461538461538461,0.3974358974358974,0.07692307692307693,0.02564102564102564
bass_5,78,437236,0.9867996535814373,0.13438252161056366,0.9871794871794872,0.8333333333333334,0.5256410256410257,0.15384615384615385,0.038461538461538464
bass_6,78,437236,0.9736516610990579,0.04376830706514004,0.9230769230769231,0.6794871794871795,0.3076923076923077,0.05128205128205128,0.0
bass_comb123456,78,437236,0.9819628008203515,0.0937769272028026,0.9615384615384616,0.8589743589743589,0.4358974358974359,0.1282051282051282,0.02564102564102564
