Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,2411,0.5102699583431014,0.057151749461380866,0.17391304347826086,0.043478260869565216,0.0,0.0,0.0
bass_2,92,2411,0.39136295601680704,0.06781888892592991,0.18478260869565216,0.06521739130434782,0.021739130434782608,0.010869565217391304,0.010869565217391304
bass_3,92,2411,0.8624240347681821,0.40329210094535206,0.6630434782608695,0.30434782608695654,0.14130434782608695,0.021739130434782608,0.021739130434782608
bass_4,92,2411,0.7819775305213424,0.3484747347371606,0.6304347826086957,0.31521739130434784,0.06521739130434782,0.03260869565217391,0.03260869565217391
bass_5,92,2411,0.8683885452545398,0.3780567307226596,0.6739130434782609,0.32608695652173914,0.09782608695652174,0.06521739130434782,0.06521739130434782
bass_6,92,2411,0.578931707932844,0.07851418327199494,0.25,0.05434782608695652,0.0,0.0,0.0
bass_comb123456,92,2411,0.8420779759435919,0.3537734348519548,0.6195652173913043,0.29347826086956524,0.11956521739130435,0.010869565217391304,0.010869565217391304
