Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,54,437236,0.9956601536995192,0.3822876191908874,1.0,0.8888888888888888,0.6851851851851852,0.4074074074074074,0.25925925925925924
bass_2,54,437236,0.9995553295567475,0.5567186372105037,1.0,0.9814814814814815,0.9074074074074074,0.6111111111111112,0.2222222222222222
bass_3,54,437236,0.9991788907626121,0.3760710582027929,1.0,1.0,0.7777777777777778,0.42592592592592593,0.16666666666666666
bass_4,54,437236,0.9980899373607203,0.5250777356033995,1.0,0.9259259259259259,0.8333333333333334,0.5185185185185185,0.4074074074074074
bass_5,54,437236,0.9973434551660041,0.3479813839911046,1.0,0.9259259259259259,0.7407407407407407,0.4074074074074074,0.2037037037037037
bass_6,54,437236,0.9989038041325593,0.3606045058484412,1.0,0.9814814814814815,0.7962962962962963,0.46296296296296297,0.14814814814814814
bass_comb123456,54,437236,0.9990491193331307,0.5211692840155692,1.0,0.9629629629629629,0.7962962962962963,0.5925925925925926,0.25925925925925924
