Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,437236,0.9297480427444019,0.09251470146049857,0.8260869565217391,0.5,0.22826086956521738,0.13043478260869565,0.043478260869565216
bass_2,92,437236,0.9587524392358797,0.18536016890443316,0.9130434782608695,0.5652173913043478,0.3804347826086957,0.25,0.07608695652173914
bass_3,92,437236,0.9689636568769746,0.12653671593198648,0.9347826086956522,0.5869565217391305,0.33695652173913043,0.16304347826086957,0.05434782608695652
bass_4,92,437236,0.9760929402567193,0.21268410652180916,0.9239130434782609,0.717391304347826,0.42391304347826086,0.2391304347826087,0.13043478260869565
bass_5,92,437236,0.9806335186807881,0.11405644122126188,0.9456521739130435,0.6956521739130435,0.42391304347826086,0.16304347826086957,0.043478260869565216
bass_6,92,437236,0.9703907664828904,0.10696822617961793,0.9130434782608695,0.5869565217391305,0.40217391304347827,0.16304347826086957,0.03260869565217391
bass_comb123456,92,437236,0.9806055887836118,0.21173425695756393,0.9565217391304348,0.6739130434782609,0.42391304347826086,0.2608695652173913,0.11956521739130435
