Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,2411,0.9975732771757437,0.9810400941057068,0.994475138121547,0.9779005524861878,0.861878453038674,0.47513812154696133,0.47513812154696133
bass_2,181,2411,0.9914411617104845,0.9836783861733986,0.9834254143646409,0.9834254143646409,0.9392265193370166,0.9060773480662984,0.9060773480662984
bass_3,181,2411,0.9944522228918562,0.9855639004677524,0.994475138121547,0.9723756906077348,0.9171270718232044,0.7790055248618785,0.7790055248618785
bass_4,181,2411,0.9974701586421351,0.982513939211491,0.994475138121547,0.9668508287292817,0.8729281767955801,0.7403314917127072,0.7403314917127072
bass_5,181,2411,0.9972272572074126,0.9872714507912725,0.994475138121547,0.9779005524861878,0.9060773480662984,0.8066298342541437,0.8066298342541437
bass_6,181,2411,0.9955956928534273,0.981838187406271,0.994475138121547,0.9613259668508287,0.8895027624309392,0.6795580110497238,0.6795580110497238
bass_comb123456,181,2411,0.9998533425299788,0.9980684700419795,1.0,0.994475138121547,0.994475138121547,0.8066298342541437,0.8066298342541437
