Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,2411,0.746271617405731,0.34131777966425314,0.5,0.2826086956521739,0.17391304347826086,0.03260869565217391,0.03260869565217391
bass_2,92,2411,0.6497439272897769,0.3837662789199645,0.45652173913043476,0.34782608695652173,0.2608695652173913,0.25,0.25
bass_3,92,2411,0.863140858023912,0.5047859306803261,0.6630434782608695,0.40217391304347827,0.29347826086956524,0.15217391304347827,0.15217391304347827
bass_4,92,2411,0.8761608930084936,0.6118923462336942,0.7282608695652174,0.5978260869565217,0.31521739130434784,0.2391304347826087,0.2391304347826087
bass_5,92,2411,0.8566263322092582,0.48222213670585024,0.6847826086956522,0.43478260869565216,0.20652173913043478,0.10869565217391304,0.10869565217391304
bass_6,92,2411,0.8130263466358899,0.5008228605803866,0.6086956521739131,0.45652173913043476,0.25,0.07608695652173914,0.07608695652173914
bass_comb123456,92,2411,0.8869312751338971,0.5672143330031864,0.7282608695652174,0.4673913043478261,0.3804347826086957,0.11956521739130435,0.11956521739130435
