Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,67,2411,0.9795836248042245,0.7956329277802545,0.9552238805970149,0.746268656716418,0.5671641791044776,0.08955223880597014,0.08955223880597014
bass_2,67,2411,0.9698459176535407,0.8600537579981472,0.9402985074626866,0.835820895522388,0.6119402985074627,0.582089552238806,0.582089552238806
bass_3,67,2411,0.9865789261902845,0.8854607995122682,0.9701492537313433,0.7910447761194029,0.7164179104477612,0.43283582089552236,0.43283582089552236
bass_4,67,2411,0.9852727238960733,0.8910191177521266,0.9552238805970149,0.9104477611940298,0.6268656716417911,0.5223880597014925,0.5223880597014925
bass_5,67,2411,0.9610429808650649,0.7461693122887697,0.8955223880597015,0.7164179104477612,0.43283582089552236,0.2537313432835821,0.2537313432835821
bass_6,67,2411,0.9939208973795477,0.8991993874514287,0.9850746268656716,0.8805970149253731,0.6119402985074627,0.373134328358209,0.373134328358209
bass_comb123456,67,2411,0.9925837424243362,0.9088258852436693,0.9850746268656716,0.8955223880597015,0.7761194029850746,0.3283582089552239,0.3283582089552239
